Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2017-07-26,00:00:00,CPRH,PE04,CO,0.46,ppm,Automático
2017-07-26,01:00:00,CPRH,PE04,CO,0.46,ppm,Automático
2017-07-26,02:00:00,CPRH,PE04,CO,0.44,ppm,Automático
2017-07-26,03:00:00,CPRH,PE04,CO,0.43,ppm,Automático
2017-07-26,04:00:00,CPRH,PE04,CO,0.4,ppm,Automático
2017-07-26,05:00:00,CPRH,PE04,CO,0.42,ppm,Automático
2017-07-26,06:00:00,CPRH,PE04,CO,0.43,ppm,Automático
2017-07-26,07:00:00,CPRH,PE04,CO,0.44,ppm,Automático
2017-07-26,08:00:00,CPRH,PE04,CO,0.41,ppm,Automático
2017-07-26,09:00:00,CPRH,PE04,CO,0.38,ppm,Automático
2017-07-26,10:00:00,CPRH,PE04,CO,0.31,ppm,Automático
2017-07-26,11:00:00,CPRH,PE04,CO,0.29,ppm,Automático
2017-07-26,12:00:00,CPRH,PE04,CO,0.26,ppm,Automático
2017-07-26,13:00:00,CPRH,PE04,CO,0.25,ppm,Automático
2017-07-26,14:00:00,CPRH,PE04,CO,0.28,ppm,Automático
2017-07-26,15:00:00,CPRH,PE04,CO,0.29,ppm,Automático
2017-07-26,16:00:00,CPRH,PE04,CO,0.3,ppm,Automático
2017-07-26,17:00:00,CPRH,PE04,CO,0.31,ppm,Automático
2017-07-26,18:00:00,CPRH,PE04,CO,0.34,ppm,Automático
2017-07-26,19:00:00,CPRH,PE04,CO,0.43,ppm,Automático
2017-07-26,23:00:00,CPRH,PE04,CO,0.51,ppm,Automático
2017-07-27,00:00:00,CPRH,PE04,CO,0.53,ppm,Automático
2017-07-27,01:00:00,CPRH,PE04,CO,0.67,ppm,Automático
2017-07-27,02:00:00,CPRH,PE04,CO,0.68,ppm,Automático
2017-07-27,03:00:00,CPRH,PE04,CO,0.67,ppm,Automático
2017-07-27,04:00:00,CPRH,PE04,CO,0.68,ppm,Automático
2017-07-27,05:00:00,CPRH,PE04,CO,0.68,ppm,Automático
2017-07-27,06:00:00,CPRH,PE04,CO,0.67,ppm,Automático
