Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2021-01-01,01:00:00,CPRH,PE04,CO,1.172,ppm,Automático
2021-01-01,02:00:00,CPRH,PE04,CO,1.131,ppm,Automático
2021-01-01,03:00:00,CPRH,PE04,CO,1.133,ppm,Automático
2021-01-01,04:00:00,CPRH,PE04,CO,1.108,ppm,Automático
2021-01-01,05:00:00,CPRH,PE04,CO,1.234,ppm,Automático
2021-01-01,06:00:00,CPRH,PE04,CO,1.274,ppm,Automático
2021-01-01,07:00:00,CPRH,PE04,CO,1.261,ppm,Automático
2021-01-01,08:00:00,CPRH,PE04,CO,1.271,ppm,Automático
2021-01-01,09:00:00,CPRH,PE04,CO,1.225,ppm,Automático
2021-01-01,10:00:00,CPRH,PE04,CO,1.197,ppm,Automático
2021-01-01,11:00:00,CPRH,PE04,CO,1.169,ppm,Automático
2021-01-01,12:00:00,CPRH,PE04,CO,1.146,ppm,Automático
2021-01-01,13:00:00,CPRH,PE04,CO,1.162,ppm,Automático
2021-01-01,14:00:00,CPRH,PE04,CO,1.111,ppm,Automático
2021-01-01,15:00:00,CPRH,PE04,CO,1.1,ppm,Automático
2021-01-01,16:00:00,CPRH,PE04,CO,1.087,ppm,Automático
2021-01-01,17:00:00,CPRH,PE04,CO,1.07,ppm,Automático
2021-01-01,18:00:00,CPRH,PE04,CO,1.076,ppm,Automático
2021-01-01,19:00:00,CPRH,PE04,CO,1.102,ppm,Automático
2021-01-01,20:00:00,CPRH,PE04,CO,1.13,ppm,Automático
2021-01-01,21:00:00,CPRH,PE04,CO,1.177,ppm,Automático
2021-01-01,22:00:00,CPRH,PE04,CO,1.178,ppm,Automático
2021-01-01,23:00:00,CPRH,PE04,CO,1.179,ppm,Automático
2021-01-02,01:00:00,CPRH,PE04,CO,1.02,ppm,Automático
2021-01-02,02:00:00,CPRH,PE04,CO,1.076,ppm,Automático
2021-01-02,03:00:00,CPRH,PE04,CO,1.063,ppm,Automático
2021-01-02,04:00:00,CPRH,PE04,CO,1.111,ppm,Automático
2021-01-02,05:00:00,CPRH,PE04,CO,1.21,ppm,Automático
2021-01-02,06:00:00,CPRH,PE04,CO,1.262,ppm,Automático
